a2ps 4.14-1
acl 2.2.49-1
alpine 2.00-11
alsa-lib 1.0.23-2
apache 2.2.17-1
apachetop 0.12.6-1
apr 1.4.2-1
apr-util 1.3.10-2
asciidoc 8.6.3-1
aspell 0.60.6-4
atk 1.32.0-1
attr 2.4.44-1
autoconf 2.68-1
automake 1.11.1-2
avahi 0.6.28-1
bash 4.1.009-1
binutils 2.20.1-4
bison 2.4.3-1
bzip2 1.0.6-1
ca-certificates 20090814-3
cairo 1.10.0-2
chromium 8.0.552.215-1
cloog-ppl 0.15.9-2
cmake 2.8.3-1
compositeproto 0.4.2-1
confuse 2.7-1
consolekit 0.4.1-4
coreutils 8.7-1
cracklib 2.8.16-1
cryptsetup 1.1.3-1
curl 7.21.2-2
damageproto 1.2.1-1
dash 0.5.6.1-1
db 5.1.19-3
dbus 1.4.0-1
dbus-core 1.4.0-1
dbus-glib 0.92-1
dcron 4.4-2
desktop-file-utils 0.16-1
device-mapper 2.02.77-1
dhcpcd 5.2.8-1
diffutils 3.0-2
dmidecode 2.10-1
dmxproto 2.3-1
dnsutils 9.7.1.P2-1
docbook-xml 4.5-4
docbook-xsl 1.76.0-3
dri2proto 2.3-1
e2fsprogs 1.41.12-1
eject 2.1.5-4
elfutils 0.149-2
elinks 0.13-2
enchant 1.6.0-1
eventlog 0.2.12-1
evolution-data-server 2.32.1-1
exempi 2.1.1-1
exo 0.3.107-2
expat 2.0.1-5
faac 1.28-2
fakeroot 1.14.5-1
fam 2.7.0-14
ffmpeg 25679-1
ffmpegthumbnailer 2.0.3-1
file 5.04-3
filesystem 2010.10-1
findutils 4.4.2-3
firefox 3.6.13-1
fixesproto 4.1.2-1
flex 2.5.35-4
fontconfig 2.8.0-1
fontsproto 2.1.1-1
freeglut 2.6.0-1
freetype2 2.4.4-1
fuse 2.8.5-1
gawk 3.1.8-2
gc 7.1-1
gcc 4.5.1-2
gcc-libs 4.5.1-2
gconf 2.32.0-1
gdbm 1.8.3-7
gdk-pixbuf2 2.22.1-1
gedit 2.30.4-3
gen-init-cpio 2.6.32-1
gettext 0.18.1.1-1
ghostscript 9.00-1
giflib 4.1.6-3
git 1.7.3.3-1
glib2 2.26.1-1
glibc 2.12.1-4
glproto 1.4.12-1
gmp 5.0.1-1
gnome-desktop 2.32.1-1
gnome-disk-utility 2.32.0-2
gnome-doc-utils 0.20.2-2
gnome-icon-theme 2.31.0-1
gnome-menus 2.30.5-1
gnome-panel 2.32.1-1
gnutls 2.8.6-1
gobject-introspection 0.9.12-1
gperf 3.0.4-1
gpm 1.20.6-6
grep 2.7-1
groff 1.20.1-4
grub 0.97-17
gstreamer0.10 0.10.31-1
gstreamer0.10-base 0.10.31-1
gtk-doc 1.15-2
gtk-engines 2.20.2-1
gtk-xfce-engine 2.6.0-1
gtk2 2.22.1-1
gtkpacman 2.3.1-4
gtksourceview2 2.10.5-1
gvfs 1.6.6-1
gzip 1.4-2
hal 0.5.14-5
hal-info 0.20091130-1
heimdal 1.3.3-4
hicolor-icon-theme 0.12-1
hunspell 1.2.12-1
iana-etc 2.30-1
icon-naming-utils 0.8.90-1
imagemagick 6.6.4.10-1
imlib2 1.4.4-1
initscripts 2010.07-2
inputproto 2.0.1-1
intel-dri 7.9-1
intltool 0.41.1-2
iproute2 2.6.35-4
iputils 20100214-2
ircii-pana 1.1-4
iso-codes 3.14-1
jasper 1.900.1-6
jfsutils 1.1.14-2
kbd 1.15.2-1
kbproto 1.0.5-1
kernel26 2.6.36.2-1
lame 3.98.4-1
lcms 1.19-1
less 436-2
libarchive 2.8.4-2
libatasmart 0.17-1
libburn 0.9.0.pl00-1
libcanberra 0.26-3
libcap 2.19-1
libcddb 1.3.2-2
libcdio 0.82-1
libcroco 0.6.2-1
libcups 1.4.5-2
libdaemon 0.14-1
libdatrie 0.2.4-1
libdmx 1.1.1-1
libdrm 2.4.22-1
libev 4.01-1
libevent 1.4.14b-2
libexif 0.6.19-1
libfetch 2.33-1
libffi 3.0.9-1
libfontenc 1.1.0-1
libgcrypt 1.4.6-1
libgdata 0.6.5-1
libgl 7.9-1
libglade 2.6.4-2
libgnome-keyring 2.32.0-1
libgpg-error 1.9-2
libgssglue 0.1-2
libgweather 2.30.3-1
libical 0.46-1
libice 1.0.7-1
libid3tag 0.15.1b-6
libidl2 0.8.14-1
libidn 1.19-1
libisofs 0.6.40-1
libjpeg 8.0.2-1
libldap 2.4.23-1
libmp4v2 1.9.1-1
libmpc 0.8.2-2
libmpd 0.20.0-1
libmysqlclient 5.1.51-1
libnl 1.1-2
libnotify 0.5.2-1
libogg 1.2.1-1
libpcap 1.1.1-1
libpciaccess 0.12.0-1
libpng 1.4.4-1
libproxy 0.4.6-2
librsvg 2.32.1-1
libsasl 2.1.23-5
libsexy 0.1.11-2
libsm 1.2.0-1
libsoup 2.32.2-1
libsoup-gnome 2.32.2-1
libtasn1 2.8-1
libthai 0.1.14-1
libtheora 1.1.1-1
libtiff 3.9.4-1
libtirpc 0.2.1-1
libtool 2.4-1
libunique 1.1.6-3
libusb 1.0.8-1
libusb-compat 0.1.3-1
libva 1.0.6-1
libvdpau 0.4-1
libvorbis 1.3.2-1
libvpx 0.9.5-2
libwnck 2.30.6-1
libx11 1.4.0-1
libx86 1.1-2
libxau 1.0.6-1
libxaw 1.0.8-1
libxcb 1.7-1
libxcomposite 0.4.3-1
libxcursor 1.1.11-1
libxdamage 1.1.3-1
libxdg-basedir 1.1.0-1
libxdmcp 1.1.0-1
libxext 1.2.0-1
libxfce4menu 4.6.2-1
libxfce4util 4.6.2-1
libxfcegui4 4.6.4-1
libxfixes 4.0.5-1
libxfont 1.4.3-1
libxft 2.2.0-1
libxi 1.4.0-1
libxinerama 1.1.1-1
libxkbfile 1.0.7-1
libxklavier 5.0-1
libxml2 2.7.8-1
libxmu 1.1.0-1
libxpm 3.5.9-1
libxrandr 1.3.1-1
libxrender 0.9.6-1
libxres 1.0.5-1
libxslt 1.1.26-2
libxss 1.2.1-1
libxt 1.0.9-1
libxtst 1.2.0-1
libxv 1.0.6-1
libxvmc 1.0.6-1
libxxf86dga 1.1.2-1
libxxf86vm 1.1.1-1
licenses 2.6-1
lighttpd 1.4.28-3
linux-api-headers 2.6.34-1
linux-atm 2.5.1-1
